enrollment_id,participant_id,cohort_id,program_id,program_name,program_category,program_goal,delivery_language,delivery_mode,trainer_id,cohort_state,start_date,end_date,cohort_month,state,city,age_band,gender,employment_status,primary_device,digital_confidence,acquisition_channel,motivation,attendance_rate,risk_band,completion_status,completed_flag,pre_score,post_score,score_improvement,satisfaction_score,recommendation_score,employment_outcome,ticket_count,avg_resolution_hours,support_sla_rate
EN00187,PT0089,CH005,PRG05,Financial Literacy,Business,Community Upskilling,Hindi,Virtual,TR12,Penang,2025-01-06,2025-02-10,2025-01-01,Selangor,Klang,18-24,Male,Employed,Laptop/Desktop,Medium,Referral,Career growth,1.0,On track,Dropped,0,64.5,95.2,30.7,4.0,8.0,Not measured,0,,
EN00188,PT0501,CH005,PRG05,Financial Literacy,Business,Community Upskilling,Hindi,Virtual,TR12,Penang,2025-01-06,2025-02-10,2025-01-01,Sarawak,Miri,45+,Female,Student,Laptop/Desktop,High,Employer,Career growth,1.0,On track,Completed,1,61.6,85.9,24.3,,,Not measured,1,68.5,0.0
EN00189,PT0143,CH005,PRG05,Financial Literacy,Business,Community Upskilling,Hindi,Virtual,TR12,Penang,2025-01-06,2025-02-10,2025-01-01,Sabah,Sandakan,35-44,Male,Employed,Laptop/Desktop,Medium,Organic,Job search,1.0,On track,Dropped,0,50.7,75.9,25.2,4.0,10.0,Not measured,1,43.8,1.0
EN00190,PT0138,CH005,PRG05,Financial Literacy,Business,Community Upskilling,Hindi,Virtual,TR12,Penang,2025-01-06,2025-02-10,2025-01-01,Kuala Lumpur,North,25-34,Female,Employed,Laptop/Desktop,Medium,Community partner,Employer requirement,1.0,On track,Completed,1,77.4,100.0,22.6,,,Not measured,1,33.3,0.0
EN00191,PT0441,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Johor,Johor Bahru,25-34,Female,Self-employed,Laptop/Desktop,Medium,Referral,Job search,1.0,On track,Completed,1,57.0,87.8,30.8,5.0,9.0,Not measured,0,,
EN00192,PT0363,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Selangor,Klang,35-44,Male,Job seeker,Laptop/Desktop,Medium,Organic,Digital confidence,0.375,High risk,Dropped,0,42.8,54.2,11.4,3.0,4.0,Not measured,1,21.9,1.0
EN00193,PT0482,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Johor,Muar,35-44,Female,Employed,Mobile,Medium,Employer,Digital confidence,0.75,On track,Completed,1,45.7,67.2,21.5,4.0,8.0,Not measured,1,10.9,1.0
EN00194,PT0149,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Selangor,Klang,35-44,Male,Student,Mobile,Medium,Employer,Career growth,0.875,On track,Completed,1,37.7,66.5,28.8,,,Not measured,0,,
EN00195,PT0399,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Kuala Lumpur,North,45+,Female,Employed,Mobile,Low,Employer,Digital confidence,0.625,Watch,In progress / incomplete,0,52.8,77.9,25.1,4.0,7.0,Not measured,0,,
EN00196,PT0234,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Johor,Johor Bahru,35-44,Female,Job seeker,Laptop/Desktop,Low,Organic,Career growth,0.875,On track,Completed,1,40.5,62.3,21.8,,,Not measured,1,33.6,1.0
EN00197,PT0579,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Selangor,Shah Alam,25-34,Female,Job seeker,Mobile,Medium,Referral,Digital confidence,0.5,Watch,Completed,1,74.3,96.0,21.7,4.0,8.0,Not measured,1,23.2,1.0
EN00198,PT0406,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Selangor,Shah Alam,45+,Male,Job seeker,Mobile,Low,Employer,Digital confidence,0.875,On track,Completed,1,48.3,75.9,27.6,4.0,6.0,Not measured,1,6.4,1.0
EN00199,PT0507,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Penang,George Town,35-44,Male,Employed,Shared device,Medium,Organic,Employer requirement,0.875,On track,Completed,1,69.7,95.5,25.8,5.0,10.0,Not measured,0,,
EN00200,PT0708,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Kuala Lumpur,Central,25-34,Female,Student,Mobile,High,Community partner,Career growth,0.875,On track,Completed,1,64.7,87.1,22.4,4.0,8.0,Not measured,0,,
EN00201,PT0607,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Selangor,Shah Alam,25-34,Female,Employed,Shared device,Medium,Community partner,Career growth,0.25,High risk,Completed,1,57.8,73.1,15.3,2.0,1.0,Not measured,1,118.9,0.0
EN00202,PT0746,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Johor,Johor Bahru,25-34,Female,Job seeker,Laptop/Desktop,Low,Referral,Career growth,0.75,On track,Completed,1,46.3,67.0,20.7,4.0,8.0,Not measured,0,,
EN00203,PT0464,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Johor,Johor Bahru,35-44,Female,Student,Mobile,Medium,Community partner,Career growth,0.875,On track,Completed,1,39.6,59.9,20.3,5.0,10.0,Not measured,0,,
EN00204,PT0444,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Selangor,Shah Alam,45+,Male,Self-employed,Laptop/Desktop,Medium,Community partner,Digital confidence,0.75,On track,Completed,1,64.7,84.2,19.5,,,Not measured,2,29.0,1.0
EN00205,PT0202,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Sarawak,Miri,18-24,Female,Student,Mobile,Medium,Community partner,Employer requirement,0.5,Watch,In progress / incomplete,0,56.9,56.0,-0.9,3.0,6.0,Not measured,1,3.4,1.0
EN00206,PT0693,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Sarawak,Miri,25-34,Male,Employed,Mobile,Medium,Organic,Job search,0.875,On track,Completed,1,56.8,73.0,16.2,4.0,6.0,Not measured,0,,
EN00207,PT0623,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Penang,George Town,25-34,Male,Job seeker,Mobile,Medium,Organic,Employer requirement,0.875,On track,Completed,1,41.3,66.6,25.3,5.0,10.0,Not measured,0,,
EN00208,PT0225,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Sabah,Kota Kinabalu,18-24,Male,Job seeker,Mobile,High,Referral,Employer requirement,0.875,On track,Completed,1,75.9,96.7,20.8,5.0,10.0,Not measured,1,11.1,1.0
EN00209,PT0565,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Penang,Seberang Perai,35-44,Male,Student,Mobile,High,Referral,Job search,1.0,On track,Completed,1,69.2,93.4,24.2,3.0,7.0,Not measured,0,,
EN00210,PT0256,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Kuala Lumpur,North,25-34,Female,Employed,Mobile,Low,Organic,Digital confidence,0.625,Watch,In progress / incomplete,0,37.8,60.7,22.9,3.0,3.0,Not measured,0,,
EN00211,PT0137,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Sarawak,Miri,35-44,Non-binary / Prefer not to say,Student,Mobile,Low,Employer,Digital confidence,0.5,Watch,Completed,1,55.8,83.4,27.6,3.0,4.0,Not measured,0,,
EN00212,PT0695,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Kuala Lumpur,Central,45+,Female,Job seeker,Laptop/Desktop,High,Organic,Job search,0.75,On track,In progress / incomplete,0,61.3,78.2,16.9,5.0,10.0,Not measured,0,,
EN00213,PT0369,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Kuala Lumpur,North,35-44,Female,Job seeker,Laptop/Desktop,Medium,Community partner,Career growth,1.0,On track,Completed,1,47.7,74.8,27.1,5.0,10.0,Not measured,0,,
EN00214,PT0275,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Kuala Lumpur,North,25-34,Female,Employed,Shared device,High,Community partner,Career growth,0.875,On track,Dropped,0,64.3,82.9,18.6,5.0,10.0,Not measured,1,37.7,1.0
EN00215,PT0356,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Sarawak,Miri,25-34,Male,Employed,Mobile,Medium,Community partner,Job search,0.625,Watch,Completed,1,53.9,69.4,15.5,4.0,8.0,Not measured,1,30.6,1.0
EN00216,PT0170,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Penang,George Town,35-44,Male,Job seeker,Mobile,Medium,Referral,Career growth,0.875,On track,Completed,1,57.0,81.2,24.2,,,Not measured,0,,
EN00217,PT0592,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Kuala Lumpur,South,45+,Male,Employed,Mobile,High,Employer,Job search,0.75,On track,Completed,1,60.2,92.9,32.7,,,Not measured,1,18.8,1.0
EN00218,PT0572,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Kuala Lumpur,Central,35-44,Female,Student,Shared device,High,Referral,Digital confidence,0.875,On track,Completed,1,51.1,75.8,24.7,4.0,8.0,Not measured,1,16.1,1.0
EN00219,PT0023,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Sabah,Kota Kinabalu,35-44,Female,Employed,Laptop/Desktop,High,Community partner,Employer requirement,0.75,On track,Completed,1,49.1,68.0,18.9,5.0,7.0,Not measured,0,,
EN00220,PT0660,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Sarawak,Kuching,45+,Female,Employed,Mobile,High,Employer,Career growth,0.75,On track,In progress / incomplete,0,43.2,70.6,27.4,4.0,7.0,Not measured,0,,
EN00221,PT0747,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Sabah,Sandakan,18-24,Male,Employed,Laptop/Desktop,High,Community partner,Digital confidence,1.0,On track,Completed,1,59.3,75.5,16.2,4.0,7.0,Not measured,0,,
EN00222,PT0652,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Penang,Seberang Perai,25-34,Male,Job seeker,Mobile,High,Organic,Digital confidence,1.0,On track,Completed,1,55.5,86.1,30.6,5.0,10.0,Not measured,0,,
EN00223,PT0303,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Kuala Lumpur,Central,35-44,Female,Employed,Shared device,Low,Community partner,Job search,0.625,Watch,Completed,1,49.3,70.4,21.1,4.0,6.0,Not measured,1,9.1,1.0
EN00224,PT0386,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Penang,Seberang Perai,25-34,Female,Student,Mobile,Low,Community partner,Job search,0.75,On track,In progress / incomplete,0,56.7,89.6,32.9,4.0,7.0,Not measured,1,45.4,1.0
EN00225,PT0458,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Sarawak,Miri,25-34,Male,Self-employed,Mobile,Low,Community partner,Digital confidence,0.875,On track,Completed,1,43.8,76.3,32.5,5.0,10.0,Not measured,1,5.7,1.0
EN00226,PT0552,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Johor,Muar,25-34,Male,Employed,Laptop/Desktop,Low,Organic,Job search,1.0,On track,Completed,1,45.0,73.1,28.1,5.0,9.0,Not measured,0,,
EN00227,PT0417,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Selangor,Klang,45+,Female,Job seeker,Mobile,Medium,Community partner,Job search,0.875,On track,Completed,1,48.3,67.7,19.4,4.0,8.0,Not measured,1,35.8,1.0
EN00228,PT0709,CH006,PRG06,Project Delivery Fundamentals,Operations,Workforce Development,English,Virtual,TR01,Johor,2025-01-06,2025-03-03,2025-01-01,Penang,Seberang Perai,35-44,Male,Job seeker,Mobile,Medium,Organic,Job search,0.875,On track,In progress / incomplete,0,53.9,87.6,33.7,,,Not measured,0,,
EN00229,PT0706,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sabah,Kota Kinabalu,35-44,Female,Job seeker,Mobile,Low,Employer,Job search,0.375,High risk,Dropped,0,35.7,58.4,22.7,,,Not measured,0,,
EN00230,PT0773,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Selangor,Klang,18-24,Female,Employed,Mobile,Medium,Community partner,Employer requirement,0.875,On track,Completed,1,45.1,64.5,19.4,3.0,7.0,No change reported,0,,
EN00231,PT0274,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Johor,Muar,35-44,Female,Employed,Mobile,High,Organic,Job search,0.875,On track,Completed,1,66.6,93.2,26.6,,,New role,0,,
EN00232,PT0739,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Selangor,Petaling,35-44,Female,Employed,Laptop/Desktop,Medium,Community partner,Job search,1.0,On track,Completed,1,52.0,80.3,28.3,4.0,10.0,New role,0,,
EN00233,PT0147,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sabah,Sandakan,35-44,Female,Employed,Laptop/Desktop,Medium,Community partner,Employer requirement,0.375,High risk,In progress / incomplete,0,49.9,63.7,13.8,,,Not measured,0,,
EN00234,PT0386,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Penang,Seberang Perai,25-34,Female,Student,Mobile,Low,Community partner,Job search,0.375,High risk,Completed,1,60.5,79.8,19.3,3.0,6.0,No change reported,0,,
EN00235,PT0388,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Johor,Johor Bahru,35-44,Male,Student,Laptop/Desktop,Medium,Organic,Career growth,0.75,On track,Completed,1,75.2,94.2,19.0,4.0,8.0,No change reported,0,,
EN00236,PT0553,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sarawak,Miri,25-34,Male,Employed,Laptop/Desktop,Low,Employer,Career growth,0.75,On track,Completed,1,49.7,82.5,32.8,3.0,5.0,No change reported,0,,
EN00237,PT0408,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sabah,Sandakan,18-24,Female,Self-employed,Mobile,Medium,Community partner,Career growth,0.875,On track,Completed,1,34.9,55.1,20.2,4.0,6.0,No change reported,1,38.1,1.0
EN00238,PT0561,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sarawak,Kuching,35-44,Female,Employed,Mobile,Medium,Organic,Career growth,0.5,Watch,Completed,1,45.0,70.0,25.0,3.0,7.0,No change reported,0,,
EN00239,PT0043,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Selangor,Petaling,18-24,Female,Employed,Mobile,High,Organic,Job search,0.875,On track,Completed,1,55.4,83.3,27.9,,,No change reported,1,31.1,0.0
EN00240,PT0370,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Kuala Lumpur,South,45+,Male,Job seeker,Laptop/Desktop,High,Employer,Career growth,0.75,On track,Completed,1,61.8,81.6,19.8,,,No change reported,0,,
EN00241,PT0531,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Kuala Lumpur,Central,25-34,Male,Employed,Mobile,Medium,Community partner,Career growth,0.75,On track,Completed,1,57.4,80.5,23.1,,,Interview secured,0,,
EN00242,PT0403,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Kuala Lumpur,Central,35-44,Female,Student,Mobile,Medium,Community partner,Employer requirement,0.75,On track,Completed,1,50.1,62.0,11.9,5.0,9.0,New role,2,15.0,1.0
EN00243,PT0715,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Penang,Seberang Perai,25-34,Female,Job seeker,Mobile,High,Organic,Employer requirement,0.625,Watch,Completed,1,44.9,67.8,22.9,4.0,7.0,No change reported,0,,
EN00244,PT0438,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sabah,Sandakan,25-34,Male,Job seeker,Laptop/Desktop,Medium,Employer,Career growth,0.625,Watch,Completed,1,46.0,65.0,19.0,4.0,8.0,No change reported,0,,
EN00245,PT0225,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sabah,Kota Kinabalu,18-24,Male,Job seeker,Mobile,High,Employer,Career growth,0.875,On track,Completed,1,33.7,49.3,15.6,,,No change reported,1,13.8,1.0
EN00246,PT0224,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sarawak,Kuching,18-24,Female,Self-employed,Laptop/Desktop,High,Organic,Digital confidence,0.875,On track,Completed,1,37.8,54.8,17.0,4.0,8.0,No change reported,0,,
EN00247,PT0769,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Selangor,Klang,35-44,Male,Employed,Shared device,Medium,Community partner,Career growth,0.75,On track,Completed,1,61.1,85.5,24.4,3.0,8.0,Interview secured,0,,
EN00248,PT0328,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Penang,George Town,25-34,Female,Job seeker,Laptop/Desktop,Medium,Organic,Job search,0.625,Watch,Dropped,0,43.2,49.7,6.5,,,Not measured,1,33.8,1.0
EN00249,PT0599,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Selangor,Petaling,35-44,Female,Job seeker,Mobile,Medium,Community partner,Job search,0.875,On track,Completed,1,62.2,81.0,18.8,4.0,5.0,No change reported,0,,
EN00250,PT0109,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Kuala Lumpur,South,25-34,Male,Employed,Mobile,Low,Organic,Digital confidence,0.625,Watch,Dropped,0,64.6,75.7,11.1,4.0,8.0,Not measured,0,,
EN00251,PT0342,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Kuala Lumpur,Central,18-24,Female,Job seeker,Laptop/Desktop,Low,Community partner,Job search,0.875,On track,Completed,1,80.1,100.0,19.9,5.0,10.0,New role,0,,
EN00252,PT0319,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Penang,Seberang Perai,35-44,Female,Student,Mobile,Low,Community partner,Job search,0.625,Watch,Completed,1,47.3,69.0,21.7,,,Interview secured,2,18.6,1.0
EN00253,PT0479,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sabah,Kota Kinabalu,25-34,Female,Job seeker,Mobile,Medium,Organic,Career growth,0.75,On track,Completed,1,45.7,62.2,16.5,,,No change reported,0,,
EN00254,PT0001,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Kuala Lumpur,North,35-44,Non-binary / Prefer not to say,Job seeker,Laptop/Desktop,Low,Community partner,Employer requirement,0.75,On track,Completed,1,48.6,70.8,22.2,4.0,7.0,Interview secured,3,21.7,1.0
EN00255,PT0346,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Johor,Muar,18-24,Male,Self-employed,Laptop/Desktop,High,Employer,Job search,1.0,On track,Completed,1,49.3,82.9,33.6,,,No change reported,1,11.2,1.0
EN00256,PT0745,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Penang,Seberang Perai,45+,Female,Student,Laptop/Desktop,High,Organic,Digital confidence,1.0,On track,Completed,1,48.3,69.8,21.5,,,No change reported,2,14.1,1.0
EN00257,PT0557,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Sarawak,Kuching,45+,Female,Employed,Laptop/Desktop,Medium,Community partner,Job search,0.875,On track,Completed,1,75.4,94.3,18.9,5.0,10.0,Interview secured,0,,
EN00258,PT0395,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Kuala Lumpur,North,35-44,Male,Job seeker,Mobile,Low,Referral,Employer requirement,0.625,Watch,In progress / incomplete,0,37.3,58.3,21.0,3.0,6.0,Not measured,0,,
EN00259,PT0104,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Selangor,Shah Alam,25-34,Male,Employed,Shared device,Medium,Employer,Job search,0.5,Watch,In progress / incomplete,0,65.2,86.7,21.5,,,Not measured,0,,
EN00260,PT0433,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Selangor,Petaling,25-34,Male,Employed,Laptop/Desktop,Medium,Community partner,Career growth,0.625,Watch,Dropped,0,60.0,82.6,22.6,,,Not measured,0,,
EN00261,PT0704,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Kuala Lumpur,Central,35-44,Female,Employed,Mobile,Medium,Organic,Job search,0.5,Watch,Dropped,0,42.5,57.6,15.1,3.0,6.0,Not measured,0,,
EN00262,PT0406,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Selangor,Shah Alam,45+,Male,Job seeker,Mobile,Low,Organic,Employer requirement,0.625,Watch,Completed,1,56.8,70.6,13.8,3.0,4.0,No change reported,0,,
EN00263,PT0215,CH007,PRG01,Data Foundations,Data & Digital,Career Transition,English,Virtual,TR10,Penang,2025-02-17,2025-04-14,2025-02-01,Johor,Muar,25-34,Female,Self-employed,Laptop/Desktop,High,Community partner,Employer requirement,1.0,On track,Completed,1,59.1,89.2,30.1,,,No change reported,0,,
EN00264,PT0567,CH008,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR03,Selangor,2025-02-10,2025-04-21,2025-02-01,Selangor,Petaling,25-34,Female,Employed,Laptop/Desktop,Medium,Community partner,Digital confidence,1.0,On track,Completed,1,54.9,83.0,28.1,,,Interview secured,0,,
EN00265,PT0270,CH008,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR03,Selangor,2025-02-10,2025-04-21,2025-02-01,Sabah,Sandakan,18-24,Female,Job seeker,Mobile,High,Community partner,Career growth,0.5,Watch,Dropped,0,50.8,75.7,24.9,,,Not measured,1,22.4,1.0
EN00266,PT0479,CH008,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR03,Selangor,2025-02-10,2025-04-21,2025-02-01,Sabah,Kota Kinabalu,25-34,Female,Job seeker,Mobile,Medium,Community partner,Digital confidence,0.8,On track,Completed,1,55.3,86.5,31.2,5.0,10.0,Interview secured,0,,
EN00267,PT0324,CH008,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR03,Selangor,2025-02-10,2025-04-21,2025-02-01,Selangor,Petaling,25-34,Female,Student,Mobile,Medium,Community partner,Job search,0.8,On track,Completed,1,45.4,62.5,17.1,4.0,9.0,No change reported,0,,
EN00268,PT0240,CH008,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR03,Selangor,2025-02-10,2025-04-21,2025-02-01,Penang,Seberang Perai,25-34,Male,Employed,Laptop/Desktop,High,Referral,Digital confidence,1.0,On track,Completed,1,47.4,65.0,17.6,5.0,8.0,Interview secured,1,44.6,0.0
EN00269,PT0693,CH008,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR03,Selangor,2025-02-10,2025-04-21,2025-02-01,Sarawak,Miri,25-34,Male,Employed,Mobile,Medium,Organic,Job search,0.8,On track,Completed,1,69.9,97.3,27.4,5.0,10.0,Interview secured,0,,
EN00270,PT0703,CH008,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR03,Selangor,2025-02-10,2025-04-21,2025-02-01,Sabah,Kota Kinabalu,18-24,Female,Self-employed,Mobile,Medium,Organic,Job search,0.5,Watch,Completed,1,72.2,80.5,8.3,2.0,3.0,No change reported,0,,
